variant,mean_MASE_rank
Toto-2.0-2.5B-FT (zero-shot),27.33
Chronos-2 (zero-shot),42.37
TiRex-2 (zero-shot),49.93
TurkForecast c2-LoRA (zero-shot),51.2
TimesFM-2.5 (zero-shot),57.7
TiRex (zero-shot),62.06
Tournament (the published serving on these configurations),19.67
