variant,all97,tournament_configs
Chronos-2,47.23711340206186,42.55555555555556
TiRex,58.36082474226804,63.18518518518518
TiRex-2,44.24742268041237,41.51851851851852
Toto 2.0 2.5B FT,33.824742268041234,28.11111111111111
TimesFM 2.5,53.54639175257732,58.81481481481482
TurkForecast LoRA,48.123711340206185,51.407407407407405
Tournament on every configuration,38.0,19.814814814814813
Full system (released router),19.4020618556701,19.703703703703702
